  289  256    1    4    2    2
  1    3
  1.0  0.30
    1     0.000     1.000     0.000
    2     0.062     1.000     0.000
    3     0.125     1.000     0.000
    4     0.188     1.000     0.000
    5     0.250     1.000     0.000
    6     0.312     1.000     0.000
    7     0.375     1.000     0.000
    8     0.438     1.000     0.000
    9     0.500     1.000     0.000
   10     0.562     1.000     0.000
   11     0.625     1.000     0.000
   12     0.688     1.000     0.000
   13     0.750     1.000     0.000
   14     0.812     1.000     0.000
   15     0.875     1.000     0.000
   16     0.938     1.000     0.000
   17     1.000     1.000     0.000
   18     0.000     0.938     0.000
   19     0.062     0.938     0.000
   20     0.125     0.938     0.000
   21     0.188     0.938     0.000
   22     0.250     0.938     0.000
   23     0.312     0.938     0.000
   24     0.375     0.938     0.000
   25     0.438     0.938     0.000
   26     0.500     0.938     0.000
   27     0.562     0.938     0.000
   28     0.625     0.938     0.000
   29     0.688     0.938     0.000
   30     0.750     0.938     0.000
   31     0.812     0.938     0.000
   32     0.875     0.938     0.000
   33     0.938     0.938     0.000
   34     1.000     0.938     0.000
   35     0.000     0.875     0.000
   36     0.062     0.875     0.000
   37     0.125     0.875     0.000
   38     0.188     0.875     0.000
   39     0.250     0.875     0.000
   40     0.312     0.875     0.000
   41     0.375     0.875     0.000
   42     0.438     0.875     0.000
   43     0.500     0.875     0.000
   44     0.562     0.875     0.000
   45     0.625     0.875     0.000
   46     0.688     0.875     0.000
   47     0.750     0.875     0.000
   48     0.812     0.875     0.000
   49     0.875     0.875     0.000
   50     0.938     0.875     0.000
   51     1.000     0.875     0.000
   52     0.000     0.812     0.000
   53     0.062     0.812     0.000
   54     0.125     0.812     0.000
   55     0.188     0.812     0.000
   56     0.250     0.812     0.000
   57     0.312     0.812     0.000
   58     0.375     0.812     0.000
   59     0.438     0.812     0.000
   60     0.500     0.812     0.000
   61     0.562     0.812     0.000
   62     0.625     0.812     0.000
   63     0.688     0.812     0.000
   64     0.750     0.812     0.000
   65     0.812     0.812     0.000
   66     0.875     0.812     0.000
   67     0.938     0.812     0.000
   68     1.000     0.812     0.000
   69     0.000     0.750     0.000
   70     0.062     0.750     0.000
   71     0.125     0.750     0.000
   72     0.188     0.750     0.000
   73     0.250     0.750     0.000
   74     0.312     0.750     0.000
   75     0.375     0.750     0.000
   76     0.438     0.750     0.000
   77     0.500     0.750     0.000
   78     0.562     0.750     0.000
   79     0.625     0.750     0.000
   80     0.688     0.750     0.000
   81     0.750     0.750     0.000
   82     0.812     0.750     0.000
   83     0.875     0.750     0.000
   84     0.938     0.750     0.000
   85     1.000     0.750     0.000
   86     0.000     0.688     0.000
   87     0.062     0.688     0.000
   88     0.125     0.688     0.000
